DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Germany,2023,11.84,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Denmark,2000,10.84,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Denmark,2001,10.75,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Denmark,2002,11.06,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Denmark,2003,10.52,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Denmark,2004,11.19,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Denmark,2005,11.73,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Denmark,2006,11.27,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Denmark,2007,11.60,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Denmark,2008,11.93,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Denmark,2009,12.01,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Denmark,2010,11.58,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Denmark,2011,12.56,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Denmark,2012,13.20,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Denmark,2013,13.23,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Denmark,2014,14.01,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Denmark,2015,14.34,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Denmark,2016,14.47,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Denmark,2017,14.93,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Denmark,2018,15.13,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Denmark,2019,15.72,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Denmark,2020,16.85,,
ESTAT:SDG_07_30(1.0),19/12/24 23:00:00,Annual,Euro per kilogram of oil equivalent (KGOE),Denmark,2021,17.23,,
